name,rating,genre,year,released,score,votes,director,writer,star,country,budget,gross,company,runtime
Puss in Boots,PG,Animation,2011,"October 28, 2011 (United States)",6.6,148000.0,Chris Miller,Tom Wheeler,Antonio Banderas,United States,130000000.0,554987477.0,DreamWorks Animation,90.0
Caravaggio,,Biography,1986,"August 29, 1986 (United States)",6.6,5500.0,Derek Jarman,Derek Jarman,Noam Almaz,United Kingdom,,5478.0,British Film Institute (BFI),93.0
Before Sunrise,R,Drama,1995,"January 27, 1995 (United States)",8.1,282000.0,Richard Linklater,Richard Linklater,Ethan Hawke,United States,2500000.0,5987386.0,Castle Rock Entertainment,101.0
Waiting...,R,Comedy,2005,"October 7, 2005 (United States)",6.7,93000.0,Rob McKittrick,Rob McKittrick,Ryan Reynolds,United States,3000000.0,18637690.0,Eden Rock Media,94.0
The Devil's Backbone,R,Drama,2001,"April 20, 2001 (Spain)",7.4,63000.0,Guillermo del Toro,Guillermo del Toro,Marisa Paredes,Spain,4500000.0,6582065.0,El Deseo,106.0
Revolver,R,Action,2005,"September 22, 2005 (United Kingdom)",6.4,92000.0,Guy Ritchie,Luc Besson,Jason Statham,France,,7155807.0,EuropaCorp,111.0
The Shallows,PG-13,Action,2016,"June 24, 2016 (United States)",6.3,124000.0,Jaume Collet-Serra,Anthony Jaswinski,Blake Lively,United States,17000000.0,119100758.0,Columbia Pictures,86.0
X2: X-Men United,PG-13,Action,2003,"May 2, 2003 (United States)",7.4,521000.0,Bryan Singer,Zak Penn,Patrick Stewart,United States,110000000.0,407711549.0,Twentieth Century Fox,134.0
A Lot Like Love,PG-13,Comedy,2005,"April 22, 2005 (United States)",6.6,68000.0,Nigel Cole,Colin Patrick Lynch,Ashton Kutcher,United States,30000000.0,42886719.0,Touchstone Pictures,107.0
Holmes & Watson,PG-13,Comedy,2018,"December 25, 2018 (United States)",3.8,33000.0,Etan Cohen,Etan Cohen,Will Ferrell,United States,42000000.0,40466970.0,Columbia Pictures,90.0
Akira,R,Animation,1988,"July 16, 1988 (Japan)",8.0,171000.0,Katsuhiro Ôtomo,Katsuhiro Ôtomo,Mitsuo Iwata,Japan,,2562351.0,Akira Committee Company Ltd.,124.0
Ghost in the Shell,TV-MA,Animation,1995,"March 29, 1996 (United States)",8.0,133000.0,Mamoru Oshii,Shirow Masamune,Atsuko Tanaka,Japan,,516540.0,Kôdansha,83.0
Hero,PG-13,Action,2002,"August 27, 2004 (United States)",7.9,176000.0,Yimou Zhang,Feng Li,Jet Li,China,31000000.0,177395557.0,Edko Films,120.0
"Love, Honor and Obey",R,Comedy,2000,"February 9, 2001 (United States)",6.5,5200.0,Dominic Anciano,Dominic Anciano,Sadie Frost,United Kingdom,,1400.0,British Broadcasting Corporation (BBC),103.0
The Zero Theorem,R,Comedy,2013,"August 19, 2014 (United States)",6.1,46000.0,Terry Gilliam,Pat Rushin,Christoph Waltz,United Kingdom,8500000.0,1486506.0,Voltage Pictures,107.0
Edtv,PG-13,Comedy,1999,"March 26, 1999 (United States)",6.1,42000.0,Ron Howard,Émile Gaudreault,Matthew McConaughey,United States,80000000.0,35242897.0,Imagine Entertainment,122.0
Happy Death Day 2U,PG-13,Comedy,2019,"February 13, 2019 (United States)",6.2,64000.0,Christopher Landon,Christopher Landon,Jessica Rothe,United States,9000000.0,64600152.0,Blumhouse Productions,100.0
2012,PG-13,Action,2009,"November 13, 2009 (United States)",5.8,360000.0,Roland Emmerich,Roland Emmerich,John Cusack,United States,200000000.0,791217826.0,Columbia Pictures,158.0
Revolutionary Road,R,Drama,2008,"January 23, 2009 (United States)",7.3,202000.0,Sam Mendes,Justin Haythe,Leonardo DiCaprio,United States,35000000.0,75981180.0,Dreamworks Pictures,119.0
Rise of the Planet of the Apes,PG-13,Action,2011,"August 5, 2011 (United States)",7.5,504000.0,Rupert Wyatt,Rick Jaffa,James Franco,United States,93000000.0,481800873.0,Twentieth Century Fox,105.0
We Need to Talk About Kevin,R,Drama,2011,"October 21, 2011 (United Kingdom)",7.5,142000.0,Lynne Ramsay,Lynne Ramsay,Tilda Swinton,United Kingdom,7000000.0,9232318.0,BBC Films,112.0
Everything Must Go,R,Drama,2010,"October 14, 2011 (United Kingdom)",6.4,49000.0,Dan Rush,Dan Rush,Will Ferrell,United States,5000000.0,2820490.0,Temple Hill Entertainment,97.0
The Secret World of Arrietty,G,Animation,2010,"February 17, 2012 (United States)",7.6,85000.0,Hiromasa Yonebayashi,Mary Norton,Amy Poehler,Japan,23000000.0,149411550.0,Studio Ghibli,94.0
To Rome with Love,R,Comedy,2012,"July 6, 2012 (United States)",6.3,86000.0,Woody Allen,Woody Allen,Woody Allen,United States,,73244881.0,Medusa Film,112.0
Body Rock,PG-13,Drama,1984,"September 28, 1984 (United States)",3.7,446.0,Marcelo Epstein,Desmond Nakano,Lorenzo Lamas,United States,,1689501.0,New World Pictures,93.0
A Guide to Recognizing Your Saints,R,Crime,2006,"October 13, 2006 (United States)",7.0,25000.0,Dito Montiel,Dito Montiel,Robert Downey Jr.,United States,,2035468.0,Belladonna Productions,100.0
Step Up,PG-13,Crime,2006,"August 11, 2006 (United States)",6.5,113000.0,Anne Fletcher,Duane Adler,Channing Tatum,United States,12000000.0,114197742.0,Touchstone Pictures,104.0
Pixels,PG-13,Action,2015,"July 24, 2015 (United States)",5.5,135000.0,Chris Columbus,Tim Herlihy,Adam Sandler,United States,88000000.0,244874809.0,Columbia Pictures,105.0
The Expendables,R,Action,2010,"August 13, 2010 (United States)",6.5,331000.0,Sylvester Stallone,Dave Callaham,Sylvester Stallone,United States,80000000.0,274470394.0,Millennium Films,103.0
Innerspace,PG,Action,1987,"July 1, 1987 (United States)",6.8,56000.0,Joe Dante,Chip Proser,Dennis Quaid,United States,27000000.0,25893810.0,Warner Bros.,120.0
Cradle Will Rock,R,Drama,1999,"January 21, 2000 (United States)",6.8,8900.0,Tim Robbins,Tim Robbins,Hank Azaria,United States,36000000.0,2986932.0,Cradle Productions Inc.,132.0
Certain Fury,R,Action,1985,"March 1, 1985 (United States)",5.2,487.0,Stephen Gyllenhaal,Michael Jacobs,Tatum O'Neal,United States,,1381091.0,Entertainment Events,87.0
Loverboy,PG-13,Comedy,1989,"April 28, 1989 (United States)",6.1,7500.0,Joan Micklin Silver,Robin Schiff,Patrick Dempsey,United States,,3960327.0,Crescent Film Enterprises,98.0
Reds,PG,Biography,1981,"December 25, 1981 (United States)",7.3,21000.0,Warren Beatty,Warren Beatty,Warren Beatty,United States,32000000.0,40382659.0,Barclays Mercantile Industrial Finance,195.0
Southbound,R,Horror,2015,"February 9, 2016 (United States)",5.9,17000.0,Directors,Matt Bettinelli-Olpin,Chad Villella,United States,,35275.0,Soapbox Films,89.0
Lost Souls,R,Drama,2000,"October 13, 2000 (United States)",4.8,11000.0,Janusz Kaminski,Pierce Gardner,Winona Ryder,United States,50000000.0,31355910.0,Prufrock Pictures,97.0
Two Moon Junction,R,Drama,1988,"April 29, 1988 (United States)",5.1,5200.0,Zalman King,Zalman King,Sherilyn Fenn,United States,,1547397.0,DDM Film Corporation,104.0
Sweet and Lowdown,PG-13,Comedy,1999,"March 10, 2000 (United States)",7.2,33000.0,Woody Allen,Woody Allen,Sean Penn,United States,29750000.0,4525794.0,Sweetland Films,95.0
The Horse Whisperer,PG-13,Drama,1998,"May 15, 1998 (United States)",6.6,40000.0,Robert Redford,Nick Evans,Robert Redford,United States,60000000.0,186883563.0,Touchstone Pictures,169.0
The Jungle Book 2,G,Animation,2003,"February 14, 2003 (United States)",5.4,15000.0,Steve Trenbirth,Karl Geurs,John Goodman,United States,20000000.0,186303759.0,Disney Television Animation,72.0
K-9,PG-13,Action,1989,"April 28, 1989 (United States)",6.0,32000.0,Rod Daniel,Steven Siegel,Jim Belushi,United States,17000000.0,78247647.0,Gordon Company,101.0
"Grandview, U.S.A.",R,Drama,1984,"August 3, 1984 (United States)",5.4,1800.0,Randal Kleiser,Ken Hixon,Jamie Lee Curtis,United States,,4743119.0,CBS Theatrical Films,97.0
Monkeybone,PG-13,Animation,2001,"February 23, 2001 (United States)",4.8,17000.0,Henry Selick,Kaja Blackley,Brendan Fraser,United States,75000000.0,7622365.0,Twentieth Century Fox,93.0
The Invasion,PG-13,Sci-Fi,2007,"August 17, 2007 (United States)",5.9,75000.0,Oliver Hirschbiegel,David Kajganich,Nicole Kidman,United States,80000000.0,40170558.0,Warner Bros.,99.0
Malena,R,Comedy,2000,"February 2, 2001 (United States)",7.5,94000.0,Giuseppe Tornatore,Giuseppe Tornatore,Monica Bellucci,Italy,,14493284.0,Medusa Film,108.0
Weekend at Bernie's II,PG,Adventure,1993,"July 9, 1993 (United States)",4.8,13000.0,Robert Klane,Robert Klane,Andrew McCarthy,United States,7000000.0,12741891.0,Artimm,97.0
Blown Away,R,Action,1994,"July 1, 1994 (United States)",6.2,29000.0,Stephen Hopkins,John Rice,Jeff Bridges,United States,28000000.0,30156002.0,Metro-Goldwyn-Mayer (MGM),121.0
Double Impact,R,Action,1991,"August 9, 1991 (United States)",5.6,39000.0,Sheldon Lettich,Sheldon Lettich,Jean-Claude Van Damme,United States,15000000.0,30102717.0,Stone Group Pictures,110.0
Cujo,R,Horror,1983,"August 12, 1983 (United States)",6.1,41000.0,Lewis Teague,Stephen King,Dee Wallace,United States,5000000.0,21156152.0,Sunn Classic Pictures,93.0
Edge of Darkness,R,Action,2010,"January 29, 2010 (United States)",6.6,91000.0,Martin Campbell,William Monahan,Mel Gibson,United Kingdom,80000000.0,81126522.0,Warner Bros.,117.0
"Bodies, Rest & Motion",R,Drama,1993,"April 9, 1993 (United States)",5.7,2200.0,Michael Steinberg,Roger Hedden,Phoebe Cates,United States,2500000.0,764724.0,Fine Line Features,95.0
Howl's Moving Castle,PG,Animation,2004,"June 17, 2005 (United States)",8.2,350000.0,Hayao Miyazaki,Hayao Miyazaki,Chieko Baishô,Japan,24000000.0,236214446.0,Buena Vista Home Entertainment,119.0
Hammett,PG,Crime,1982,"September 17, 1982 (United States)",6.5,3000.0,Wim Wenders,Joe Gores,Frederic Forrest,United States,,42914.0,Orion Pictures,97.0
Leatherface: Texas Chainsaw Massacre III,R,Horror,1990,"January 12, 1990 (United States)",5.1,15000.0,Jeff Burr,Kim Henkel,Kate Hodge,United States,2000000.0,5765562.0,Nicolas Entertainment,85.0
I Spit on Your Grave,R,Horror,2010,"January 20, 2011 (Argentina)",6.3,79000.0,Steven R. Monroe,Adam Rockoff,Sarah Butler,United States,2000000.0,1278650.0,Cinetel Films,108.0
The Bear,PG,Biography,1984,"September 28, 1984 (United States)",6.1,270.0,Richard C. Sarafian,Michael Kane,Gary Busey,United States,221000.0,2687148.0,,110.0
Damned River,R,Action,1989,"October 13, 1989 (United States)",5.0,201.0,Michael Schroeder,John Crowther,Stephen Shellen,United States,5000000.0,,Metro-Goldwyn-Mayer (MGM),95.0
Hush,PG-13,Drama,1998,"March 6, 1998 (United States)",5.5,11000.0,Jonathan Darby,Jonathan Darby,Jessica Lange,United States,21000000.0,13583690.0,TriStar Pictures,96.0
The Twilight Saga: Breaking Dawn - Part 1,PG-13,Adventure,2011,"November 18, 2011 (United States)",4.9,228000.0,Bill Condon,Melissa Rosenberg,Kristen Stewart,United States,110000000.0,712205856.0,Summit Entertainment,117.0
The Cement Garden,Not Rated,Drama,1993,"February 11, 1994 (United States)",7.1,4500.0,Andrew Birkin,Andrew Birkin,Charlotte Gainsbourg,France,,322975.0,British Broadcasting Corporation (BBC),101.0
45 Years,R,Drama,2015,"August 28, 2015 (United Kingdom)",7.1,32000.0,Andrew Haigh,Andrew Haigh,Charlotte Rampling,United Kingdom,,14430249.0,BFI Film Fund,91.0
Wild Orchid II: Two Shades of Blue,R,Drama,1991,"May 8, 1992 (United States)",4.0,1500.0,Zalman King,Zalman King,Nina Siemaszko,United States,,573904.0,Vision PDG,111.0
The Last Temptation of Christ,R,Drama,1988,"August 12, 1988 (Canada)",7.5,54000.0,Martin Scorsese,Nikos Kazantzakis,Willem Dafoe,Canada,7000000.0,8865702.0,Universal Pictures,164.0
UHF,PG-13,Comedy,1989,"July 21, 1989 (United States)",7.0,27000.0,Jay Levey,'Weird Al' Yankovic,'Weird Al' Yankovic,United States,5000000.0,6157157.0,Cinecorp SAC,97.0
Brick,R,Action,2005,"April 14, 2006 (United States)",7.3,103000.0,Rian Johnson,Rian Johnson,Joseph Gordon-Levitt,United States,475000.0,3947579.0,Bergman Lustig Productions,110.0
Texas Killing Fields,R,Crime,2011,"October 14, 2011 (United Kingdom)",5.7,19000.0,Ami Canaan Mann,Don Ferrarone,Sam Worthington,United States,,1271319.0,Anchor Bay Films,105.0
Some Kind of Wonderful,PG-13,Drama,1987,"February 27, 1987 (United States)",7.1,29000.0,Howard Deutch,John Hughes,Eric Stoltz,United States,,18553948.0,Hughes Entertainment,95.0
Downsizing,R,Drama,2017,"December 22, 2017 (United States)",5.7,102000.0,Alexander Payne,Alexander Payne,Matt Damon,United States,68000000.0,55003890.0,Paramount Pictures,135.0
So I Married an Axe Murderer,PG-13,Comedy,1993,"July 30, 1993 (United States)",6.5,36000.0,Thomas Schlamme,Robbie Fox,Mike Myers,United States,20000000.0,11585483.0,TriStar Pictures,93.0
Just Like Heaven,PG-13,Comedy,2005,"September 16, 2005 (United States)",6.7,101000.0,Mark Waters,Peter Tolan,Reese Witherspoon,United States,58000000.0,102854431.0,Dreamworks Pictures,95.0
Silent Fall,R,Drama,1994,"October 28, 1994 (United States)",5.9,3700.0,Bruce Beresford,Akiva Goldsman,Richard Dreyfuss,United States,30000000.0,3180674.0,Kouf/Bigelow Productions,101.0
Eye in the Sky,R,Action,2015,"April 1, 2016 (United States)",7.3,81000.0,Gavin Hood,Guy Hibbert,Helen Mirren,United Kingdom,13000000.0,35259653.0,Raindog Films,102.0
The Brother from Another Planet,R,Comedy,1984,"September 14, 1984 (United States)",6.8,5700.0,John Sayles,John Sayles,Joe Morton,United States,350000.0,3677209.0,Anarchist's Convention Films,108.0
The Forgotten,PG-13,Drama,2004,"September 24, 2004 (United States)",5.8,65000.0,Joseph Ruben,Gerald Di Pego,Julianne Moore,United States,42000000.0,117592831.0,Revolution Studios,91.0
Triple 9,R,Action,2016,"February 26, 2016 (United States)",6.3,69000.0,John Hillcoat,Matt Cook,Casey Affleck,United States,20000000.0,23177948.0,Worldview Entertainment,115.0
Transformers: The Last Knight,PG-13,Action,2017,"June 21, 2017 (United States)",5.2,140000.0,Michael Bay,Art Marcum,Mark Wahlberg,United States,217000000.0,605425157.0,Paramount Pictures,154.0
The Big Hit,R,Action,1998,"April 24, 1998 (United States)",6.1,29000.0,Kirk Wong,Ben Ramsey,Mark Wahlberg,United States,13000000.0,27007143.0,TriStar Pictures,91.0
If Lucy Fell,R,Comedy,1996,"March 8, 1996 (United States)",4.9,3800.0,Eric Schaeffer,Eric Schaeffer,Sarah Jessica Parker,United States,5000000.0,2420162.0,Motion Picture Corporation of America (MPCA),92.0
Of Love and Shadows,R,Drama,1994,"May 10, 1996 (United States)",5.1,2000.0,Betty Kaplan,Isabel Allende,Antonio Banderas,United States,,1181182.0,Aleph Producciones S.A.,103.0
The Red Violin,R,Drama,1998,"June 11, 1999 (United States)",7.6,32000.0,François Girard,Don McKellar,Carlo Cecchi,Canada,18000000.0,10019109.0,Rhombus Media,130.0
Wildcats,R,Comedy,1986,"February 14, 1986 (United States)",6.1,12000.0,Michael Ritchie,Ezra Sacks,Goldie Hawn,United States,,26285544.0,Hawn / Sylbert Movie Company,106.0
Matewan,PG-13,Drama,1987,"August 28, 1987 (United States)",7.9,7500.0,John Sayles,John Sayles,Chris Cooper,United States,4000000.0,1680358.0,Cinecom Entertainment Group,135.0
Dirty Work,PG-13,Comedy,1998,"June 12, 1998 (United States)",6.4,24000.0,Bob Saget,Frank Sebastiano,Norm MacDonald,Canada,13000000.0,10023282.0,Metro-Goldwyn-Mayer (MGM),82.0
xXx: Return of Xander Cage,PG-13,Action,2017,"January 20, 2017 (United States)",5.2,88000.0,D.J. Caruso,Rich Wilkes,Vin Diesel,China,85000000.0,346118277.0,Paramount Pictures,107.0
A Madea Family Funeral,PG-13,Comedy,2019,"March 1, 2019 (United States)",4.5,4000.0,Tyler Perry,Tyler Perry,Tyler Perry,United States,20000000.0,74747725.0,The Tyler Perry Company,109.0
Total Dhamaal,Not Rated,Action,2019,"February 22, 2019 (India)",4.2,5700.0,Indra Kumar,Paritosh Painter,Ajay Devgn,India,,26911995.0,Ajay Devgn Ffilms,130.0
Comfort and Joy,PG,Comedy,1984,"October 10, 1984 (United States)",6.7,1900.0,Bill Forsyth,Bill Forsyth,Bill Paterson,United Kingdom,,1057368.0,Lake (Comfort and Joy),106.0
The Final Cut,PG-13,Drama,2004,"October 15, 2004 (United States)",6.2,32000.0,Omar Naim,Omar Naim,Robin Williams,United States,,3222439.0,Lions Gate Entertainment,95.0
Mousehunt,PG,Comedy,1997,"December 19, 1997 (United States)",6.5,53000.0,Gore Verbinski,Adam Rifkin,Nathan Lane,United States,38000000.0,122417389.0,Dreamworks Pictures,98.0
The Awakening,R,Horror,1980,"October 31, 1980 (United States)",4.8,2000.0,Mike Newell,Allan Scott,Charlton Heston,United Kingdom,,8415112.0,EMI Films,101.0
The Serpent and the Rainbow,R,Fantasy,1988,"February 5, 1988 (United States)",6.5,23000.0,Wes Craven,Wade Davis,Bill Pullman,United States,7000000.0,19595031.0,Universal Pictures,98.0
Harriet the Spy,PG,Comedy,1996,"July 10, 1996 (United States)",5.9,9800.0,Bronwen Hughes,Louise Fitzhugh,Michelle Trachtenberg,United States,12000000.0,26570048.0,Paramount Pictures,100.0
Once Upon a Time in Mexico,R,Action,2003,"September 12, 2003 (United States)",6.4,156000.0,Robert Rodriguez,Robert Rodriguez,Antonio Banderas,United States,29000000.0,98769390.0,Columbia Pictures,102.0
Mike's Murder,R,Drama,1984,"March 9, 1984 (United States)",5.8,822.0,James Bridges,James Bridges,Debra Winger,United States,6300000.0,1059966.0,Skyewiay,109.0
Star Trek II: The Wrath of Khan,PG,Action,1982,"June 4, 1982 (United States)",7.7,115000.0,Nicholas Meyer,Gene Roddenberry,William Shatner,United States,11200000.0,78912963.0,Paramount Pictures,113.0
Central Intelligence,PG-13,Action,2016,"June 17, 2016 (United States)",6.3,166000.0,Rawson Marshall Thurber,Ike Barinholtz,Dwayne Johnson,United States,50000000.0,216972543.0,New Line Cinema,107.0
The Way,PG-13,Comedy,2010,"November 19, 2010 (Spain)",7.4,31000.0,Emilio Estevez,Emilio Estevez,Martin Sheen,Spain,,13348704.0,Filmax Entertainment,123.0
Little Man,PG-13,Comedy,2006,"July 14, 2006 (United States)",4.5,52000.0,Keenen Ivory Wayans,Keenen Ivory Wayans,Shawn Wayans,United States,64000000.0,104003322.0,Revolution Studios,98.0
White Fang,PG,Adventure,1991,"January 18, 1991 (United States)",6.7,20000.0,Randal Kleiser,Jack London,Ethan Hawke,United States,14000000.0,34793160.0,Walt Disney Pictures,107.0
Ouija: Origin of Evil,PG-13,Drama,2016,"October 21, 2016 (United States)",6.1,56000.0,Mike Flanagan,Mike Flanagan,Elizabeth Reaser,United States,9000000.0,81705746.0,Universal Pictures,99.0
A Life Less Ordinary,R,Comedy,1997,"October 24, 1997 (United States)",6.4,35000.0,Danny Boyle,John Hodge,Cameron Diaz,United Kingdom,12000000.0,4366722.0,Channel Four Films,103.0
Did You Hear About the Morgans?,PG-13,Comedy,2009,"December 18, 2009 (United States)",4.9,39000.0,Marc Lawrence,Marc Lawrence,Hugh Grant,United States,58000000.0,85280250.0,Columbia Pictures,103.0
Big Stone Gap,PG-13,Comedy,2014,"May 20, 2016 (Spain)",5.7,2800.0,Adriana Trigiani,Adriana Trigiani,Ashley Judd,United States,,1012804.0,Altar Identity Studios,103.0
The Mortal Instruments: City of Bones,PG-13,Action,2013,"August 21, 2013 (United States)",5.9,129000.0,Harald Zwart,Jessica Postigo,Lily Collins,United States,60000000.0,95396573.0,Screen Gems,130.0
Scarlet Diva,R,Drama,2000,"May 26, 2000 (Italy)",5.0,2400.0,Asia Argento,Asia Argento,Asia Argento,Italy,,18062.0,Opera Film (II),90.0
Semi-Pro,R,Comedy,2008,"February 29, 2008 (United States)",5.8,80000.0,Kent Alterman,Scot Armstrong,Will Ferrell,United States,55000000.0,44004502.0,New Line Cinema,91.0
Anastasia,G,Animation,1997,"November 21, 1997 (United States)",7.2,115000.0,Don Bluth,Susan Gauthier,Meg Ryan,United States,50000000.0,139804348.0,Twentieth Century Fox,94.0
The Counselor,R,Crime,2013,"October 25, 2013 (United States)",5.3,98000.0,Ridley Scott,Cormac McCarthy,Michael Fassbender,United Kingdom,25000000.0,71009334.0,Fox 2000 Pictures,117.0
Scooby-Doo,PG,Adventure,2002,"June 14, 2002 (United States)",5.1,103000.0,Raja Gosnell,James Gunn,Matthew Lillard,United States,84000000.0,275650703.0,Warner Bros.,86.0
